GNIS ID,Municipality Name,Municipality Type,2010 Muni Population,2010 Muni Housing Units,Muni Area (sq mi),County,REDC Region,# Cable Providers,# Hse Units Cable,% Hse Units Cable,# of DSL Providers,# Hse Units DSL,% Hse Units DSL,# Fiber Providers,# Hse Units Fiber,% Hse Units Fiber,# Wireline Providers,# Hse Units Wireline,% Hse Units Wireline,# Wireless Providers,# Hse Units Wireless,% Hse Units Wireless,# Satellite Providers
978932,Ellery,Town,"4,528","2,961",55.2,Chautauqua,Western NY Region,1,"2,500",84,1,"2,300",78,1,0,0,3,"2,800",95,3,"2,800",95,4
978933,Ellicott,Town,"8,714","4,103",31.2,Chautauqua,Western NY Region,1,"3,800",93,2,"2,200",54,2,0,0,4,"3,900",95,3,"3,900",95,4
978934,Ellicottville,Town,"1,598","2,489",45.1,Cattaraugus,Western NY Region,1,"1,900",76,2,"2,000",80,1,0,0,4,"2,200",88,4,"2,400",96,4
978935,Ellington,Town,"1,643",716,36.6,Chautauqua,Western NY Region,1,350,49,1,210,29,0,0,0,2,460,64,3,690,96,4
978936,Ellisburg,Town,"3,474","1,902",123.4,Jefferson,North Country Region,1,760,40,1,"1,700",89,0,0,0,2,"1,700",89,3,"1,800",95,4
978937,Elma,Town,"11,317","4,657",34.6,Erie,Western NY Region,1,"4,500",97,1,"4,300",92,2,420,9,3,"4,500",97,6,"4,500",97,4
978938,Elmira,City,"29,200","12,313",7.5,Chemung,Southern Tier Region,1,"11,900",97,1,"11,900",97,3,0,0,5,"11,900",97,4,"11,900",97,4
978939,Elmira,Town,"6,934","3,160",22.5,Chemung,Southern Tier Region,1,"3,000",95,1,"2,900",92,1,0,0,3,"3,000",95,4,"3,000",95,4
949579,Elmira Heights,Village,"4,097","1,972",1.2,Chemung,Southern Tier Region,1,"1,900",96,1,"1,800",91,2,0,0,4,"1,900",96,4,"1,900",96,4
949586,Elmsford,Village,"4,664","1,735",1,Westchester,Mid-Hudson Region,1,"1,600",92,2,"1,600",92,5,"1,600",92,7,"1,600",92,4,"1,600",92,4
949657,Endicott,Village,"13,392","6,719",3.4,Broome,Southern Tier Region,1,"6,500",97,1,"6,500",97,4,0,0,6,"6,500",97,5,"6,500",97,4
978940,Enfield,Town,"3,512","1,567",36.8,Tompkins,Southern Tier Region,2,"1,300",83,3,"1,200",77,2,430,27,6,"1,400",89,5,"1,500",96,4
978941,Ephratah,Town,"1,682",759,39.6,Fulton,Mohawk Valley Region,1,0,0,1,710,94,0,0,0,2,710,94,4,730,96,4
978942,Erin,Town,"1,962",835,44.4,Chemung,Southern Tier Region,1,400,48,2,440,53,0,0,0,3,630,75,5,800,96,4
978943,Erwin,Town,"8,037","3,523",39.2,Steuben,Southern Tier Region,1,"3,300",94,2,"3,100",88,1,0,0,4,"3,400",97,4,"3,400",97,4
978944,Esopus,Town,"9,041","3,969",41.9,Ulster,Mid-Hudson Region,2,"3,800",96,1,"3,300",83,1,0,0,4,"3,800",96,6,"3,800",96,4
978945,Esperance,Town,"2,076",915,19.9,Schoharie,Mohawk Valley Region,1,820,90,1,70,8,0,0,0,2,820,90,4,880,96,4
978946,Essex,Town,671,582,37.1,Essex,North Country Region,1,180,31,1,60,10,2,20,3,2,230,40,4,560,96,4
978947,Evans,Town,"16,356","7,696",41.5,Erie,Western NY Region,1,"7,200",94,1,"6,900",90,1,0,0,3,"7,300",95,6,"7,400",96,4
949734,Evans Mills,Village,621,282,0.8,Jefferson,North Country Region,1,270,96,1,270,96,0,0,0,2,270,96,4,270,96,4
978948,Exeter,Town,987,589,32.7,Otsego,Mohawk Valley Region,1,410,70,2,470,80,0,0,0,3,500,85,4,570,97,4
978949,Fabius,Town,"1,964",824,46.8,Onondaga,Central NY Region,1,670,81,2,270,33,0,0,0,3,700,85,4,790,96,4
978950,Fairfield,Town,"1,627",696,41.5,Herkimer,Mohawk Valley Region,1,350,50,2,590,85,1,0,0,4,600,86,4,670,96,4
949802,Fair Haven,Village,745,671,2.9,Cayuga,Central NY Region,1,650,97,1,630,94,0,0,0,2,650,97,2,610,91,4
949822,Fairport,Village,"5,353","2,467",1.6,Monroe,Finger Lakes Region,1,"2,300",93,1,"2,300",93,1,0,0,3,"2,300",93,5,"2,300",93,4
949863,Falconer,Village,"2,420","1,166",1,Chautauqua,Western NY Region,1,"1,100",94,0,0,0,2,0,0,3,"1,100",94,3,"1,100",94,4
978951,Fallsburg,Town,"12,870","8,497",79.1,Sullivan,Mid-Hudson Region,1,"8,100",95,1,"6,900",81,1,0,0,3,"8,100",95,5,"8,200",97,4
978952,Farmersville,Town,"1,090",715,48.1,Cattaraugus,Western NY Region,1,70,10,1,370,52,0,0,0,2,380,53,3,690,97,4
949918,Farmingdale,Village,"8,189","3,482",1.1,Nassau,Long Island Region,1,"3,300",95,2,"3,300",95,4,"3,300",95,6,"3,300",95,5,"3,300",95,4
978953,Farmington,Town,"11,825","4,664",39.5,Ontario,Finger Lakes Region,1,"4,500",96,3,"4,300",92,1,0,0,5,"4,500",96,5,"4,500",96,4
949923,Farnham,Village,382,161,1,Erie,Western NY Region,1,150,93,1,130,81,0,0,0,2,150,93,4,150,93,4
978954,Fayette,Town,"3,929","1,884",66.4,Seneca,Finger Lakes Region,1,"1,600",85,1,810,43,1,0,0,3,"1,600",85,6,"1,800",96,4
949943,Fayetteville,Village,"4,373","2,034",1.7,Onondaga,Central NY Region,1,"1,900",93,1,"1,100",54,3,"1,900",93,4,"1,900",93,6,"1,900",93,4
978955,Fenner,Town,"1,726",733,31.1,Madison,Central NY Region,1,260,35,3,520,71,0,0,0,4,630,86,6,710,97,4
978956,Fenton,Town,"6,674","2,940",33.3,Broome,Southern Tier Region,1,"2,800",95,3,"2,800",95,4,0,0,8,"2,800",95,5,"2,800",95,4
978957,Fine,Town,"1,512","1,205",169.3,St. Lawrence,North Country Region,0,0,0,0,0,0,1,890,74,1,890,74,2,"1,100",91,4
978958,Fishkill,Town,"22,107","9,246",32,Dutchess,Mid-Hudson Region,1,"8,900",96,1,"8,000",87,3,"8,500",92,4,"8,900",96,4,"8,900",96,4
950271,Fleischmanns,Village,351,290,0.7,Delaware,Southern Tier Region,1,270,93,1,270,93,0,0,0,2,280,97,3,280,97,4
978959,Fleming,Town,"2,636","1,215",24.3,Cayuga,Central NY Region,1,980,81,1,720,59,2,"1,100",91,3,"1,100",91,6,"1,100",91,4
950296,Floral Park,Village,"15,863","5,909",1.4,Nassau,Long Island Region,2,"5,700",96,2,"5,700",96,4,"5,700",96,7,"5,700",96,4,"5,700",96,4
978960,Florence,Town,"1,025",484,54.9,Oneida,Mohawk Valley Region,1,10,2,2,180,37,0,0,0,3,190,39,4,460,95,4
978961,Florida,Town,"2,696","1,209",51.5,Montgomery,Mohawk Valley Region,1,710,59,3,"1,000",83,0,0,0,4,"1,100",91,4,"1,100",91,4
950303,Florida,Village,"2,833","1,084",2.1,Orange,Mid-Hudson Region,2,"1,000",92,2,"1,000",92,1,0,0,5,"1,000",92,3,"1,000",92,4
950308,Flower Hill,Village,"4,665","1,523",1.6,Nassau,Long Island Region,1,"1,400",92,2,"1,400",92,3,"1,400",92,5,"1,400",92,4,"1,400",92,4
978962,Floyd,Town,"3,819","1,542",34.8,Oneida,Mohawk Valley Region,1,"1,300",84,2,"1,400",91,1,0,0,4,"1,400",91,5,"1,400",91,4
950363,Fonda,Village,795,392,0.6,Montgomery,Mohawk Valley Region,1,380,97,1,380,97,0,0,0,2,380,97,4,380,97,4
978963,Forestburgh,Town,819,550,56.4,Sullivan,Mid-Hudson Region,1,490,89,2,300,55,0,0,0,3,510,93,4,530,96,4
978964,Forestport,Town,"1,535","2,044",79,Oneida,Mohawk Valley Region,1,"1,400",68,1,"1,700",83,0,0,0,2,"1,800",88,2,"1,900",93,4
950437,Forestville,Village,697,315,1,Chautauqua,Western NY Region,1,300,95,1,20,6,1,0,0,3,300,95,3,300,95,4
978965,Fort Ann,Town,"6,190","2,077",109,Washington,Capital Region,1,"1,800",87,1,880,42,0,0,0,2,"1,800",87,6,"1,900",91,4
978966,Fort Covington,Town,"1,676",752,36.7,Franklin,North Country Region,1,520,69,0,0,0,0,0,0,1,520,69,3,720,96,4
978967,Fort Edward,Town,"6,371","2,608",27.5,Washington,Capital Region,1,"2,200",84,1,"2,300",88,1,840,32,3,"2,300",88,6,"2,500",96,4
950482,Fort Johnson,Village,490,222,0.7,Montgomery,Mohawk Valley Region,1,210,95,1,210,95,0,0,0,2,210,95,3,210,95,4
950490,Fort Plain,Village,"2,322","1,112",1.5,Montgomery,Mohawk Valley Region,1,"1,000",90,1,"1,000",90,0,0,0,2,"1,000",90,4,"1,000",90,4
978968,Fowler,Town,"2,202","1,059",60.4,St. Lawrence,North Country Region,1,570,54,1,920,87,0,0,0,2,950,90,2,"1,000",94,4
978969,Frankfort,Town,"7,636","3,266",37.1,Herkimer,Mohawk Valley Region,1,"3,100",95,1,"3,000",92,2,0,0,4,"3,100",95,4,"3,100",95,4
978970,Franklin,Town,"2,411","1,465",81.5,Delaware,Southern Tier Region,1,940,64,3,"1,300",89,0,0,0,4,"1,300",89,6,"1,400",96,4
978971,Franklin,Town,"1,140","1,013",174.9,Franklin,North Country Region,1,500,49,2,530,52,0,0,0,3,680,67,4,670,66,4
978972,Franklinville,Town,"2,990","1,643",52.1,Cattaraugus,Western NY Region,1,"1,100",67,1,"1,400",85,0,0,0,2,"1,400",85,3,"1,500",91,4
950652,Fredonia,Village,"11,230","4,099",5.2,Chautauqua,Western NY Region,1,"3,900",95,2,"3,900",95,0,0,0,3,"3,900",95,4,"3,900",95,4
978973,Freedom,Town,"2,405","1,065",40.8,Cattaraugus,Western NY Region,1,460,43,1,710,67,0,0,0,2,840,79,4,"1,000",94,4
970151,Freeport,Village,"42,860","13,865",4.9,Nassau,Long Island Region,1,"13,400",97,2,"13,400",97,4,"13,400",97,6,"13,400",97,4,"13,300",96,4
978974,Freetown,Town,757,340,25.7,Cortland,Central NY Region,1,0,0,2,280,82,0,0,0,3,280,82,3,320,94,4
950679,Freeville,Village,520,224,1.1,Tompkins,Southern Tier Region,1,210,94,1,210,94,0,0,0,2,210,94,4,210,94,4
978975,Fremont,Town,"1,008",483,32.3,Steuben,Southern Tier Region,1,170,35,1,110,23,0,0,0,2,230,48,4,460,95,4
978976,Fremont,Town,"1,381","1,323",51.1,Sullivan,Mid-Hudson Region,1,"1,100",83,1,390,29,0,0,0,2,"1,100",83,4,"1,200",91,4
978977,French Creek,Town,906,637,36.4,Chautauqua,Western NY Region,1,420,66,2,590,93,0,0,0,3,610,96,4,610,96,4
978978,Friendship,Town,"2,004","1,057",36.2,Allegany,Western NY Region,1,770,73,1,900,85,0,0,0,2,980,93,4,"1,000",95,4
978979,Fulton,City,"11,896","5,300",4.7,Oswego,Central NY Region,1,"5,100",96,1,"5,100",96,1,0,0,3,"5,100",96,4,"5,100",96,4
978980,Fulton,Town,"1,442",869,63.8,Schoharie,Mohawk Valley Region,1,130,15,2,750,86,0,0,0,3,770,89,5,780,90,4
950807,Fultonville,Village,784,338,0.5,Montgomery,Mohawk Valley Region,1,320,95,1,320,95,0,0,0,2,320,95,4,320,95,4
978981,Gaines,Town,"3,378","1,535",34.5,Orleans,Finger Lakes Region,1,"1,400",91,1,"1,300",85,0,0,0,2,"1,400",91,5,"1,400",91,4
978982,Gainesville,Town,"2,182",965,35.8,Wyoming,Finger Lakes Region,1,830,86,1,740,77,0,0,0,2,890,92,3,930,96,4
978983,Galen,Town,"4,290","1,811",60,Wayne,Finger Lakes Region,1,"1,300",72,2,"1,500",83,1,0,0,4,"1,500",83,4,"1,700",94,4
978984,Gallatin,Town,"1,668","1,035",39.6,Columbia,Capital Region,2,680,66,4,960,93,1,0,0,6,970,94,7,"1,000",97,4
978985,Galway,Town,"3,545","2,016",45.1,Saratoga,Capital Region,1,"1,900",94,2,390,19,0,0,0,3,"1,900",94,4,"1,900",94,4
950875,Garden City,Village,"22,371","7,647",5.4,Nassau,Long Island Region,1,"7,400",97,2,"7,400",97,4,"7,200",94,6,"7,400",97,4,"7,400",97,4
978986,Gardiner,Town,"5,713","2,610",43.7,Ulster,Mid-Hudson Region,2,"2,400",92,2,"2,300",88,1,0,0,5,"2,500",96,5,"2,500",96,4
978987,Gates,Town,"28,400","12,462",15.3,Monroe,Finger Lakes Region,1,"12,000",96,1,"12,000",96,3,0,0,5,"12,000",96,5,"12,000",96,4
978988,Geddes,Town,"17,118","7,679",11.7,Onondaga,Central NY Region,1,"7,400",96,1,"4,800",63,6,"7,400",96,7,"7,400",96,6,"7,400",96,4
978989,Genesee,Town,"1,693",870,36.3,Allegany,Western NY Region,1,700,80,1,440,51,0,0,0,2,770,89,3,810,93,4
978990,Genesee Falls,Town,438,222,15.7,Wyoming,Finger Lakes Region,1,180,81,1,200,90,0,0,0,2,200,90,3,210,95,4
978991,Geneseo,Town,"10,483","3,294",45.2,Livingston,Finger Lakes Region,1,"3,100",94,1,"3,100",94,2,0,0,4,"3,100",94,5,"3,100",94,4
978992,Geneva,City,"13,261","5,486",5.9,Ontario,Finger Lakes Region,1,"5,300",97,1,"5,200",95,3,0,0,5,"5,300",97,5,"5,300",97,4
978993,Geneva,Town,"3,291","1,624",19.1,Ontario,Finger Lakes Region,1,"1,500",92,2,"1,400",86,2,0,0,5,"1,500",92,5,"1,500",92,4
978994,Genoa,Town,"1,935","1,003",43.2,Cayuga,Central NY Region,1,670,67,1,350,35,1,0,0,3,690,69,5,970,97,4
978995,Georgetown,Town,974,397,40.1,Madison,Central NY Region,1,180,45,1,350,88,0,0,0,2,350,88,3,380,96,4
978996,German,Town,370,278,28.5,Chenango,Southern Tier Region,1,0,0,1,260,94,0,0,0,2,260,94,3,260,94,4
978997,German Flatts,Town,"13,258","5,915",34.2,Herkimer,Mohawk Valley Region,1,"5,600",95,1,"5,500",93,2,0,0,4,"5,600",95,4,"5,700",96,4
978998,Germantown,Town,"1,954","1,050",13.9,Columbia,Capital Region,0,0,0,1,"1,000",95,1,780,74,1,"1,000",95,6,"1,000",95,4
978999,Gerry,Town,"1,905",833,36.2,Chautauqua,Western NY Region,1,630,76,1,580,70,2,0,0,4,760,91,3,800,96,4
979000,Ghent,Town,"5,402","2,558",45.4,Columbia,Capital Region,1,0,0,3,"2,300",90,1,0,0,4,"2,300",90,5,"2,400",94,4
951099,Gilbertsville,Village,399,207,1,Otsego,Mohawk Valley Region,1,200,97,1,200,97,0,0,0,2,200,97,2,160,77,4
979001,Gilboa,Town,"1,307","1,071",59.5,Schoharie,Mohawk Valley Region,1,140,13,2,470,44,0,0,0,3,630,59,5,"1,000",93,4
979002,Glen,Town,"2,507",964,39.3,Montgomery,Mohawk Valley Region,1,530,55,1,900,93,0,0,0,2,900,93,4,930,96,4
979003,Glen Cove,City,"26,964","10,352",6.9,Nassau,Long Island Region,1,"10,000",97,2,"10,000",97,4,"9,500",92,6,"10,000",97,4,"10,000",97,4
970168,Glen Park,Village,502,199,0.7,Jefferson,North Country Region,1,190,95,1,150,75,0,0,0,2,190,95,4,190,95,4
979004,Glens Falls,City,"14,700","7,109",4,Warren,Capital Region,1,"6,800",96,1,"6,800",96,2,"3,800",53,4,"6,800",96,6,"6,800",96,4
979005,Glenville,Town,"29,480","12,685",50.7,Schenectady,Capital Region,1,"12,200",96,2,"10,600",84,3,"5,600",44,5,"12,200",96,4,"12,300",97,4
979006,Gloversville,City,"15,665","7,477",5,Fulton,Mohawk Valley Region,1,"7,200",96,1,"7,200",96,1,0,0,3,"7,200",96,3,"7,200",96,4
979007,Gorham,Town,"4,247","2,183",53.1,Ontario,Finger Lakes Region,1,"1,900",87,1,"1,900",87,0,0,0,2,"2,000",92,5,"2,100",96,4
979008,Goshen,Town,"13,687","4,921",44,Orange,Mid-Hudson Region,2,"4,700",96,2,"4,600",93,2,0,0,6,"4,700",96,4,"4,700",96,4
979009,Gouverneur,Town,"7,085","2,741",72.3,St. Lawrence,North Country Region,1,"2,400",88,1,"2,400",88,0,0,0,2,"2,400",88,2,"2,600",95,4
951430,Gowanda,Village,"2,709","1,247",1.6,Cattaraugus,Western NY Region,1,"1,200",96,1,"1,200",96,1,0,0,3,"1,200",96,3,"1,200",96,4
979010,Grafton,Town,"2,130","1,188",46,Rensselaer,Capital Region,1,0,0,2,940,79,0,0,0,3,960,81,6,"1,100",93,4
979011,Granby,Town,"6,821","2,801",46.5,Oswego,Central NY Region,1,"2,500",89,3,"2,400",86,0,0,0,4,"2,700",96,6,"2,700",96,4
979012,Grand Island,Town,"20,374","8,273",33.4,Erie,Western NY Region,1,"8,000",97,1,"7,900",95,1,0,0,3,"8,000",97,6,"8,000",97,4
951486,Grand View-on-Hudson,Village,285,139,0.2,Rockland,Mid-Hudson Region,1,130,94,1,60,43,2,130,94,3,130,94,4,130,94,4
979013,Granger,Town,538,413,32.1,Allegany,Western NY Region,0,0,0,1,390,94,0,0,0,1,390,94,3,400,97,4
979014,Granville,Town,"6,669","2,858",56.1,Washington,Capital Region,1,"2,300",80,1,"2,300",80,0,0,0,2,"2,500",87,6,"2,700",94,4
951636,Great Neck,Village,"9,989","3,645",1.4,Nassau,Long Island Region,1,"3,500",96,2,"3,500",96,3,"3,500",96,5,"3,500",96,4,"3,500",96,4
951638,Great Neck Estates,Village,"2,761",937,0.8,Nassau,Long Island Region,2,900,96,2,900,96,2,900,96,5,900,96,4,900,96,4
951642,Great Neck Plaza,Village,"6,707","4,052",0.3,Nassau,Long Island Region,1,"3,900",96,2,"3,900",96,4,"3,900",96,6,"3,900",96,4,"3,900",96,4
979015,Great Valley,Town,"1,974","1,255",54.2,Cattaraugus,Western NY Region,2,770,61,1,900,72,1,0,0,4,"1,000",80,4,"1,200",96,4
979016,Greece,Town,"96,095","41,190",49.6,Monroe,Finger Lakes Region,1,"39,900",97,1,"39,600",96,3,0,0,5,"39,900",97,5,"39,800",97,4
979017,Greenburgh,Town,"88,400","35,452",36,Westchester,Mid-Hudson Region,2,"34,300",97,2,"34,300",97,5,"33,000",93,8,"34,300",97,4,"34,300",97,4
979018,Greene,Town,"5,604","2,659",75.6,Chenango,Southern Tier Region,1,"2,300",86,2,"2,500",94,0,0,0,3,"2,500",94,5,"2,500",94,4
979019,Greenfield,Town,"7,775","3,445",68.1,Saratoga,Capital Region,1,"3,300",96,1,"3,000",87,1,0,0,3,"3,300",96,6,"3,300",96,4
979020,Green Island,Town,"2,620","1,408",0.9,Albany,Capital Region,1,"1,300",92,1,"1,200",85,2,0,0,4,"1,300",92,6,"1,300",92,4
979021,Greenport,Town,"4,165","2,079",20.5,Columbia,Capital Region,1,"2,000",96,1,"1,800",87,2,0,0,3,"2,000",96,5,"2,000",96,4
951759,Greenport,Village,"2,197","1,191",1.1,Suffolk,Long Island Region,1,"1,100",92,1,"1,100",92,1,0,0,3,"1,100",92,4,"1,100",92,4
979022,Greenville,Town,"3,739","1,901",39.2,Greene,Capital Region,1,"1,800",95,2,"1,300",68,1,0,0,3,"1,800",95,5,"1,800",95,4
979023,Greenville,Town,"4,616","1,653",30.2,Orange,Mid-Hudson Region,2,"1,600",97,1,"1,500",91,2,0,0,5,"1,600",97,4,"1,600",97,4
979024,Greenwich,Town,"4,942","2,247",44.3,Washington,Capital Region,1,"1,800",80,1,"1,900",85,1,580,26,3,"2,000",89,6,"2,100",93,4
979025,Greenwood,Town,801,502,41.4,Steuben,Southern Tier Region,0,0,0,1,480,96,0,0,0,1,480,96,2,480,96,4
951790,Greenwood Lake,Village,"3,154","1,538",2.2,Orange,Mid-Hudson Region,1,"1,400",91,2,"1,400",91,1,0,0,4,"1,400",91,4,"1,400",91,4
979026,Greig,Town,"1,199","1,228",94.7,Lewis,North Country Region,1,890,72,1,620,50,0,0,0,2,"1,000",81,2,"1,100",90,4
979027,Groton,Town,"5,950","2,448",49.4,Tompkins,Southern Tier Region,1,"1,900",78,1,"1,900",78,0,0,0,2,"2,200",90,5,"2,300",94,4
979028,Grove,Town,548,499,33.8,Allegany,Western NY Region,0,0,0,1,220,44,0,0,0,1,220,44,3,480,96,4
979029,Groveland,Town,"3,249",755,40,Livingston,Finger Lakes Region,1,670,89,1,720,95,1,0,0,3,720,95,4,730,97,4
979030,Guilderland,Town,"35,303","15,029",58.8,Albany,Capital Region,1,"14,500",96,1,"12,300",82,5,"10,100",67,6,"14,500",96,5,"14,500",96,4
979031,Guilford,Town,"2,922","1,504",61.9,Chenango,Southern Tier Region,1,"1,000",66,1,"1,400",93,0,0,0,2,"1,400",93,5,"1,400",93,4
979032,Hadley,Town,"2,048","1,059",41.1,Saratoga,Capital Region,1,830,78,1,930,88,0,0,0,2,980,93,6,960,91,4
951983,Hagaman,Village,"1,292",571,1.5,Montgomery,Mohawk Valley Region,1,550,96,1,550,96,0,0,0,2,550,96,3,550,96,4
979033,Hague,Town,699,"1,126",79,Warren,Capital Region,1,"1,000",89,1,0,0,0,0,0,2,"1,000",89,4,"1,000",89,4
979034,Halcott,Town,258,312,22.4,Greene,Capital Region,1,60,19,1,10,3,0,0,0,2,60,19,4,300,96,4
979035,Halfmoon,Town,"21,535","9,844",33.7,Saratoga,Capital Region,1,"9,500",97,1,"8,900",90,4,180,2,5,"9,500",97,6,"9,500",97,4
979036,Hamburg,Town,"56,936","24,692",41.4,Erie,Western NY Region,1,"23,900",97,1,"18,700",76,5,"23,800",96,6,"23,900",97,6,"23,900",97,4
979037,Hamden,Town,"1,323",946,59.9,Delaware,Southern Tier Region,1,190,20,2,780,82,1,440,47,3,820,87,4,900,95,4
979038,Hamilton,Town,"6,690","2,147",41.4,Madison,Central NY Region,1,"1,900",88,2,"2,000",93,0,0,0,3,"2,000",93,2,"2,000",93,4
979039,Hamlin,Town,"9,045","3,632",43.4,Monroe,Finger Lakes Region,1,"3,500",96,1,"2,900",80,1,0,0,3,"3,500",96,5,"3,400",94,4
979040,Hammond,Town,"1,191","1,421",77.9,St. Lawrence,North Country Region,1,0,0,1,"1,200",84,1,40,3,3,"1,200",84,2,"1,300",91,4
952131,Hammondsport,Village,661,405,0.4,Steuben,Southern Tier Region,1,390,96,1,390,96,1,390,96,3,390,96,2,390,96,4
979041,Hampton,Town,938,473,22.6,Washington,Capital Region,1,80,17,1,350,74,0,0,0,2,360,76,4,450,95,4
979042,Hamptonburgh,Town,"5,561","1,819",26.7,Orange,Mid-Hudson Region,1,"1,700",93,2,"1,700",93,1,0,0,4,"1,700",93,4,"1,700",93,4
979043,Hancock,Town,"3,224","2,743",161.6,Delaware,Southern Tier Region,1,0,0,2,"2,100",77,0,0,0,3,"2,100",77,4,"2,600",95,4
979044,Hannibal,Town,"4,854","1,935",44.7,Oswego,Central NY Region,1,"1,600",83,2,"1,800",93,1,0,0,4,"1,800",93,4,"1,800",93,4
979045,Hanover,Town,"7,127","3,529",52.4,Chautauqua,Western NY Region,1,"3,200",91,1,"2,500",71,2,0,0,4,"3,200",91,5,"3,400",96,4
979046,Hardenburgh,Town,238,344,80.9,Ulster,Mid-Hudson Region,0,0,0,1,210,61,0,0,0,1,210,61,4,270,78,4
979047,Harford,Town,943,401,24.2,Cortland,Central NY Region,1,320,80,1,360,90,1,0,0,3,360,90,4,380,95,4
979048,Harmony,Town,"2,206",943,45.3,Chautauqua,Western NY Region,1,620,66,1,630,67,0,0,0,2,870,92,3,910,97,4
979049,Harpersfield,Town,"1,577","1,030",42.3,Delaware,Southern Tier Region,1,330,32,1,590,57,0,0,0,2,640,62,5,990,96,4
979050,Harrietstown,Town,"5,709","3,521",213.6,Franklin,North Country Region,1,"3,200",91,1,"2,900",82,0,0,0,2,"3,200",91,3,"3,400",97,4
952253,Harriman,Village,"2,424","1,038",1,Orange,Mid-Hudson Region,1,"1,000",96,1,"1,000",96,2,0,0,4,"1,000",96,4,"1,000",96,4
979051,Harrisburg,Town,437,239,39.7,Lewis,North Country Region,0,0,0,0,0,0,0,0,0,0,0,0,3,230,96,4
979052,Harrison,Town,"27,472","8,956",17.3,Westchester,Mid-Hudson Region,1,"8,600",96,2,"8,500",95,6,"8,200",92,8,"8,600",96,4,"8,600",96,4
952291,Harrisville,Village,628,282,0.8,Lewis,North Country Region,1,270,96,1,270,96,0,0,0,2,270,96,2,270,96,4
979053,Hartford,Town,"2,269",929,43.4,Washington,Capital Region,1,650,70,1,50,5,0,0,0,2,650,70,6,900,97,4
979054,Hartland,Town,"4,117","1,647",52.3,Niagara,Western NY Region,1,"1,300",79,1,"1,400",85,0,0,0,2,"1,500",91,5,"1,500",91,4
979055,Hartsville,Town,609,405,36.2,Steuben,Southern Tier Region,1,270,67,2,170,42,0,0,0,3,330,81,3,390,96,4
979056,Hartwick,Town,"2,110","1,162",40.4,Otsego,Mohawk Valley Region,1,830,71,1,290,25,0,0,0,2,830,71,5,"1,100",95,4
979057,Hastings,Town,"9,450","3,909",46,Oswego,Central NY Region,1,"3,700",95,2,"3,400",87,1,0,0,4,"3,700",95,6,"3,700",95,4
970194,Hastings-on-Hudson,Village,"7,849","3,270",2.1,Westchester,Mid-Hudson Region,1,"3,100",95,2,"3,100",95,4,"3,000",92,6,"3,100",95,4,"3,100",95,4
979058,Haverstraw,Town,"36,634","12,809",27.4,Rockland,Mid-Hudson Region,1,"12,400",97,1,"10,700",84,4,"11,900",93,5,"12,400",97,4,"12,400",97,4
952475,Head of the Harbor,Village,"1,472",551,2.9,Suffolk,Long Island Region,1,530,96,2,520,94,1,530,96,3,530,96,4,530,96,4
979059,Hebron,Town,"1,853",992,56.4,Washington,Capital Region,0,0,0,1,400,40,0,0,0,1,400,40,6,960,97,4
979060,Hector,Town,"4,940","2,619",112.5,Schuyler,Southern Tier Region,2,"1,700",65,2,"2,500",95,3,270,10,5,"2,500",95,5,"2,500",95,4
979061,Hempstead,Town,"759,757","256,734",194.4,Nassau,Long Island Region,3,"249,000",97,2,"248,000",97,4,"247,000",96,8,"249,000",97,4,"248,000",97,4
979062,Henderson,Town,"1,360","1,657",68,Jefferson,North Country Region,1,"1,000",60,1,"1,400",84,0,0,0,2,"1,500",91,4,"1,500",91,4
979063,Henrietta,Town,"42,581","16,078",35.5,Monroe,Finger Lakes Region,1,"15,500",96,1,"15,500",96,4,0,0,6,"15,500",96,5,"15,500",96,4
979064,Herkimer,Town,"10,175","4,606",32.4,Herkimer,Mohawk Valley Region,1,"4,300",93,2,"4,200",91,1,0,0,4,"4,400",96,5,"4,400",96,4
979065,Hermon,Town,"1,108",653,54.2,St. Lawrence,North Country Region,1,200,31,2,570,87,0,0,0,3,570,87,2,630,96,4
952642,Herrings,Village,90,35,0.3,Jefferson,North Country Region,1,30,86,1,0,0,0,0,0,2,30,86,3,30,86,4
976431,Heuvelton,Village,714,321,0.9,St. Lawrence,North Country Region,1,310,97,1,310,97,0,0,0,2,310,97,2,310,97,4
952662,Hewlett Bay Park,Village,404,145,0.4,Nassau,Long Island Region,1,140,97,2,140,97,1,140,97,3,140,97,4,130,90,4
970203,Hewlett Harbor,Village,"1,263",442,0.8,Nassau,Long Island Region,1,420,95,2,420,95,1,420,95,3,420,95,4,420,95,4
952663,Hewlett Neck,Village,445,159,0.2,Nassau,Long Island Region,1,150,94,2,150,94,1,60,38,3,150,94,4,150,94,4
979066,Highland,Town,"2,530","1,766",50.9,Sullivan,Mid-Hudson Region,1,"1,600",91,1,"1,600",91,0,0,0,2,"1,600",91,2,"1,700",96,4
970209,Highland Falls,Village,"3,900","1,793",1.1,Orange,Mid-Hudson Region,1,"1,700",95,1,"1,700",95,1,0,0,3,"1,700",95,4,"1,700",95,4
979067,Highlands,Town,"12,492","3,487",33.4,Orange,Mid-Hudson Region,1,"3,300",95,2,"3,100",89,2,0,0,5,"3,300",95,4,"3,300",95,4
952811,Hillburn,Village,951,340,2.2,Rockland,Mid-Hudson Region,1,320,94,2,320,94,2,320,94,4,320,94,4,320,94,4
